,time,BTC/USDT_change,ETH/USDT_change,BNB/USDT_change,MATIC/USDT_change,LTC/USDT_change,DOGE/USDT_change,XRP/USDT_change,LINK/USDT_change,ATOM/USDT_change,ETC/USDT_change
62,2019-03-04,-2.42,-3.79,-0.44,8.61,-4.37,-1.24,-2.92,0.21,-9.99,-3.7
63,2019-03-05,3.81,8.78,19.45,-1.44,14.72,-0.79,4.22,0.23,0.59,4.5
64,2019-03-06,0.11,0.5,6.65,25.3,5.43,0.16,0.5,-5.6,-2.84,-0.03
65,2019-03-07,0.31,-0.41,3.93,-7.89,2.46,-0.26,-1.0,2.09,4.36,2.13
66,2019-03-08,-0.23,-2.41,-5.34,0.9,-1.97,-0.42,-1.75,-0.41,-1.9,-3.73
67,2019-03-09,2.02,2.82,1.26,-10.55,3.96,-0.68,1.98,-1.63,-2.28,1.34
68,2019-03-10,-0.67,-1.38,-0.65,-3.4,-2.06,-1.24,-0.34,4.3,-1.49,1.54
69,2019-03-11,-1.13,-1.99,0.28,-6.7,-3.2,0.07,-0.92,-2.62,1.87,-2.6
70,2019-03-12,0.29,0.68,6.38,0.78,3.21,0.35,0.13,7.45,-4.15,1.7
71,2019-03-13,-0.43,-1.47,-2.1,-2.37,-2.31,0.43,0.97,0.5,-3.88,-1.31
72,2019-03-14,0.29,0.39,-0.94,-0.51,1.18,0.11,-0.68,0.48,-10.05,1.91
73,2019-03-15,1.2,3.27,0.29,-5.51,4.61,0.25,1.1,-1.36,-2.81,2.41
74,2019-03-16,2.08,3.16,6.8,-2.52,4.6,6.68,1.22,2.96,4.07,1.93
75,2019-03-17,-0.62,-1.61,-2.44,-0.74,-1.23,4.02,-1.02,8.97,-5.72,-1.56
76,2019-03-18,0.15,-0.78,-0.29,-10.55,-2.15,0.2,-0.3,5.02,-10.91,-0.55
77,2019-03-19,0.69,0.68,-0.26,8.8,0.54,-2.09,0.45,-3.29,8.17,4.63
78,2019-03-20,0.64,0.32,-2.46,5.86,1.29,-2.74,0.63,-3.44,-11.67,1.19
79,2019-03-21,-1.54,-3.01,-5.14,-14.0,-2.9,-0.31,-2.56,5.92,4.68,2.26
80,2019-03-22,0.15,0.84,5.53,-3.14,1.23,-4.76,0.25,-0.77,6.83,1.93
81,2019-03-23,0.45,1.0,-0.08,-12.92,2.8,-10.52,0.45,1.69,-3.68,0.54
82,2019-03-24,-0.35,-0.87,13.01,9.48,-1.74,-0.62,-1.24,-2.46,2.69,-0.99
83,2019-03-25,-1.38,-1.57,-2.03,3.65,-1.29,-1.37,-1.57,-5.64,4.3,-2.68
84,2019-03-26,0.33,0.16,-3.44,-2.05,-0.46,1.76,0.02,-1.94,-5.43,-0.58
85,2019-03-27,2.26,3.96,2.51,3.5,4.47,0.98,2.35,-7.25,-6.65,2.78
86,2019-03-28,-0.29,-1.15,0.4,-3.58,-1.51,-0.81,-1.23,2.05,4.88,-1.89
87,2019-03-29,1.86,3.92,-1.07,-5.5,1.6,7.79,0.56,8.64,-2.65,3.55
88,2019-03-30,0.07,-0.55,2.86,-9.7,-1.56,-1.21,1.08,-2.63,2.59,-1.81
89,2019-03-31,-0.07,-0.74,3.37,4.1,0.05,-1.4,-0.65,-7.15,-6.97,0.84
90,2019-04-01,1.03,-0.12,2.1,2.27,-0.03,-1.09,1.16,2.07,-0.06,-0.31
91,2019-04-02,17.2,15.63,10.21,4.84,27.01,-0.38,12.16,0.0,-0.55,12.87
92,2019-04-03,1.55,-2.02,-5.92,-6.04,10.98,0.17,-2.93,4.03,0.0,-0.44
93,2019-04-04,-0.69,-1.63,2.44,-1.59,-0.38,-1.37,-3.02,-1.77,1.64,-1.5
94,2019-04-05,2.17,4.73,2.08,-3.41,4.17,2.87,9.5,0.25,-3.04,7.52
95,2019-04-06,0.78,0.4,-1.5,1.94,4.5,-0.87,-2.36,-3.01,3.17,4.67
96,2019-04-07,2.54,5.22,-0.47,-1.74,-0.74,1.84,2.42,-0.12,1.04,27.86
97,2019-04-08,1.29,2.54,-5.13,-6.35,-3.26,-1.96,-1.61,-3.33,-2.73,-7.2
98,2019-04-09,-1.69,-2.3,1.81,4.52,-2.71,-0.27,-2.32,-0.13,4.87,-2.71
99,2019-04-10,3.07,1.45,-0.32,-4.24,2.29,1.38,1.78,-5.1,-5.38,1.47
100,2019-04-11,-5.47,-7.37,-3.75,-3.77,-10.53,4.86,-7.48,-1.84,-2.07,-11.29
101,2019-04-12,0.61,-0.53,4.43,14.38,-0.54,4.54,-1.18,-0.16,-6.38,1.11
102,2019-04-13,-0.04,-0.13,1.77,31.08,-1.03,-2.03,0.45,1.39,-3.79,-0.17
103,2019-04-14,1.66,2.6,4.17,8.82,7.35,4.83,0.93,-3.81,6.42,1.95
104,2019-04-15,-2.07,-4.34,-0.55,-12.94,-6.29,4.93,-2.61,9.07,6.25,-3.98
105,2019-04-16,2.96,3.41,1.94,-15.65,2.83,-1.46,1.54,-0.42,-5.99,1.24
106,2019-04-17,0.56,0.21,-0.77,23.21,-1.87,0.86,3.2,-2.42,-2.48,-0.87
107,2019-04-18,1.08,4.57,12.39,6.8,3.63,-0.1,0.29,10.06,-12.05,2.18
108,2019-04-19,0.0,-0.4,11.1,5.1,0.47,-0.74,-1.57,-3.01,1.15,-1.18
109,2019-04-20,0.63,0.13,2.34,-0.59,-1.1,-5.85,-1.03,1.89,-0.45,-0.69
110,2019-04-21,-0.69,-2.49,-3.5,-12.31,-5.56,-2.52,-2.17,13.58,0.69,-5.26
111,2019-04-22,1.9,1.14,-0.83,-1.36,-0.13,1.52,0.88,-6.26,2.1,0.27
112,2019-04-23,2.54,-0.8,-5.19,-8.78,-3.62,6.0,-1.32,9.33,-2.69,-0.38
113,2019-04-24,-1.38,-2.58,2.0,6.54,-1.11,-2.88,-5.78,7.79,-0.86,-5.44
114,2019-04-25,-3.6,-6.11,-2.18,-1.84,-1.47,1.3,-2.7,4.7,-7.27,-2.11
115,2019-04-26,1.79,2.1,2.53,10.7,2.83,-0.51,4.07,0.31,1.61,0.92
116,2019-04-27,-0.36,0.87,-2.7,2.27,-2.17,-0.49,-1.36,-3.0,0.11,1.23
117,2019-04-28,0.22,-0.92,2.63,-2.21,-3.25,-1.2,0.01,-2.01,-0.63,1.64
118,2019-04-29,-1.35,-1.74,-5.81,7.8,-2.89,-0.18,-2.09,27.9,-2.86,-0.63
119,2019-04-30,1.58,4.31,1.63,-8.14,9.52,0.47,5.31,2.13,-0.15,5.42
120,2019-05-01,1.15,-1.03,-0.69,-3.45,-1.28,-0.85,-1.79,10.12,-2.1,-1.29
121,2019-05-02,2.04,1.0,7.93,-7.42,0.45,-0.4,-0.36,-3.81,-9.58,-0.51
122,2019-05-03,5.06,3.86,0.35,1.75,7.56,-0.2,1.91,4.57,-7.09,4.86
123,2019-05-04,1.02,-2.62,-3.42,1.8,-1.88,0.68,-1.58,6.13,-0.32,-3.79
124,2019-05-05,-0.93,-0.4,0.39,-8.89,-2.61,0.27,-0.82,12.52,-6.27,-1.87
125,2019-05-06,-0.44,6.1,-3.43,-9.53,-1.0,4.01,0.8,5.85,5.5,-0.58
126,2019-05-07,1.68,-2.2,-6.94,5.48,-0.45,-2.44,-1.54,2.95,-0.05,-0.62
127,2019-05-08,2.41,1.05,0.03,-4.46,-0.2,2.59,0.39,9.73,1.6,0.74
128,2019-05-09,3.72,0.01,-8.85,3.57,-0.34,1.8,-1.57,-0.59,-5.21,-2.34
129,2019-05-10,2.63,1.14,4.13,12.49,3.95,-2.18,1.38,-16.4,-4.75,1.01
130,2019-05-11,11.0,9.99,5.99,4.29,12.28,0.13,6.18,-2.71,4.68,5.58
131,2019-05-12,-1.54,-1.1,0.51,-1.47,-2.15,-0.95,-2.17,12.19,6.3,-2.57
132,2019-05-13,11.8,4.13,12.53,5.39,2.89,-0.49,4.5,5.05,26.13,3.76
133,2019-05-14,1.95,10.5,0.57,-8.68,4.39,-0.26,26.29,-8.31,0.51,8.1
134,2019-05-15,2.83,14.65,13.34,1.7,11.93,0.38,11.82,-14.49,-5.52,16.59
135,2019-05-16,-3.7,6.53,-2.03,0.65,-6.41,-0.98,-8.41,1.71,-0.62,0.3
136,2019-05-17,-6.52,-7.58,-1.94,1.66,-6.0,-2.92,-7.23,-6.6,19.18,-5.08
137,2019-05-18,-1.33,-4.38,11.7,-4.26,-3.62,-0.73,-4.31,6.49,3.02,-1.47
138,2019-05-19,12.28,11.11,1.03,-3.03,9.28,0.08,11.98,-11.37,-2.14,8.6
139,2019-05-20,-2.57,-3.47,0.53,-1.07,-3.65,-4.55,-4.75,-1.5,10.63,-5.04
140,2019-05-21,-0.41,1.18,10.67,-0.08,-0.34,-2.22,-0.26,23.84,-2.94,0.26
141,2019-05-22,-3.49,-3.83,-4.89,0.93,-3.34,1.98,-5.9,1.27,-1.17,-6.44
142,2019-05-23,2.93,0.36,1.82,-1.61,0.99,-6.54,2.11,5.89,0.03,2.24
143,2019-05-24,1.46,1.73,8.11,0.55,13.34,0.76,0.78,-3.58,-4.9,3.46
144,2019-05-25,0.76,0.55,2.99,4.5,2.15,0.84,0.61,-6.87,2.01,-0.13
145,2019-05-26,7.37,5.71,-5.75,6.31,8.12,2.4,4.79,13.83,-3.92,4.52
146,2019-05-27,1.67,2.34,1.39,-4.61,4.75,-1.87,7.35,-6.64,-5.21,6.99
147,2019-05-28,-0.42,0.12,-1.21,-0.8,-1.37,3.77,3.55,1.84,-11.58,1.27
148,2019-05-29,-0.82,-0.83,1.5,-2.28,0.17,-2.86,-1.24,63.17,-13.45,-0.53
149,2019-05-30,-4.36,-5.34,-5.75,-6.22,-6.3,-1.19,-5.64,-12.23,2.98,-1.35
150,2019-05-31,3.48,5.23,3.85,-2.24,6.33,-2.26,4.88,4.98,-2.98,7.13
151,2019-06-01,-0.13,-1.33,1.32,-10.75,-2.01,-1.92,-2.18,-3.25,2.8,-1.06
152,2019-06-02,2.12,1.72,-0.6,0.27,1.82,-0.23,3.59,17.9,-0.44,11.28
153,2019-06-03,-6.99,-7.05,-7.18,-3.38,-7.38,0.17,-6.0,-7.24,-3.43,-1.9
154,2019-06-04,-5.28,-3.45,-4.8,1.41,-3.53,1.1,-4.46,1.07,20.87,-11.54
155,2019-06-05,1.16,1.73,5.62,3.6,1.43,-0.25,0.3,-3.79,-4.52,-2.09
156,2019-06-06,0.11,1.28,0.84,-3.21,7.32,0.63,4.85,-4.46,2.68,-2.02
157,2019-06-07,2.48,0.0,0.71,0.28,4.91,-1.22,-0.12,9.07,-0.73,3.31
158,2019-06-08,-1.07,-2.22,1.23,-1.84,1.09,-1.23,-2.8,-1.41,-0.58,2.29
159,2019-06-09,-3.38,-5.08,-5.08,1.5,-2.84,-0.11,-5.34,2.86,7.88,-3.43
160,2019-06-10,4.66,6.71,6.34,-2.5,12.64,-0.79,3.79,17.33,-4.66,2.4
161,2019-06-11,-1.2,-0.94,-0.43,0.0,5.03,-0.13,-1.98,3.96,9.67,-0.92
162,2019-06-12,3.08,6.87,9.41,-0.66,-0.35,-0.69,2.21,0.25,-0.07,4.62
163,2019-06-13,1.12,-2.47,1.04,-3.05,-3.52,1.12,-0.5,32.65,0.48,-0.98
164,2019-06-14,5.28,3.06,-8.16,7.7,1.11,-2.31,0.83,22.16,-0.45,0.11
165,2019-06-15,1.82,2.03,0.88,14.13,4.17,-5.1,1.86,-8.54,-2.84,0.54
166,2019-06-16,1.62,-0.02,-1.53,16.17,-0.77,3.6,4.28,7.33,0.25,1.3
167,2019-06-17,4.03,2.03,5.07,11.5,-1.92,-1.64,4.69,2.68,1.52,0.98
168,2019-06-18,-2.48,-3.1,1.71,-1.86,1.06,0.16,-4.5,-6.79,7.7,-3.72
169,2019-06-19,1.91,1.31,2.22,-1.58,0.87,0.62,1.66,-0.93,-4.8,0.86
170,2019-06-20,2.85,1.14,4.72,-3.92,-0.7,2.0,-0.99,5.34,-2.94,-0.37
171,2019-06-21,6.74,8.51,5.07,1.94,2.09,-1.62,2.94,-4.94,2.68,2.52
172,2019-06-22,5.61,5.62,-1.8,-5.65,2.86,-1.4,7.83,-5.48,-5.83,5.27
173,2019-06-23,1.65,-0.7,-1.89,-3.35,-3.31,1.14,-1.46,1.87,-0.47,1.38
174,2019-06-24,1.38,1.04,0.44,2.81,-1.26,-0.42,0.79,-7.99,5.72,0.14
175,2019-06-25,6.91,2.12,-3.57,-6.39,0.41,0.52,-1.23,1.62,2.69,-0.59
176,2019-06-26,10.76,6.63,0.07,3.23,-2.99,0.89,-0.01,-10.63,-3.7,-1.85
177,2019-06-27,-13.5,-12.13,-4.76,0.0,-12.27,-0.63,-12.24,13.6,-6.17,-14.62
178,2019-06-28,9.45,4.26,0.84,8.04,3.44,-0.62,3.77,-0.03,5.07,3.18
179,2019-06-29,-4.06,2.15,2.62,-3.22,11.56,-0.27,0.05,-12.1,8.12,3.03
180,2019-06-30,-8.81,-7.85,-9.57,-8.11,-7.94,0.54,-6.99,-3.16,1.08,-6.05
181,2019-07-01,-2.11,0.74,3.62,1.21,-0.04,-1.45,2.66,-18.44,3.5,0.18
182,2019-07-02,2.05,-1.2,-3.89,7.25,-3.56,1.25,-2.21,9.26,-3.0,-1.12
183,2019-07-03,10.1,3.32,1.78,-6.26,2.21,1.95,1.68,11.48,1.29,1.81
184,2019-07-04,-6.65,-6.1,1.74,4.01,-1.43,0.52,-4.29,-2.45,-4.22,-1.38
185,2019-07-05,-1.57,1.63,-1.46,-0.36,-1.08,3.0,-2.17,1.35,8.19,1.37
186,2019-07-06,2.5,0.34,0.12,0.71,0.02,1.95,3.07,-3.98,-0.18,-0.11
187,2019-07-07,1.33,5.7,1.19,-4.9,1.01,-3.69,1.59,-4.9,4.75,1.56
188,2019-07-08,7.26,2.38,1.39,1.42,2.88,1.66,1.06,-2.23,-1.05,0.48
189,2019-07-09,2.49,-1.44,-2.72,1.25,-2.99,3.05,-1.77,1.87,6.96,-1.47
190,2019-07-10,-3.51,-5.93,-3.88,-1.74,-9.16,-1.15,-8.15,-1.49,3.93,-7.69
191,2019-07-11,-6.32,-7.12,-5.78,0.0,-4.9,1.35,-9.04,1.58,2.08,-8.94
192,2019-07-12,3.65,2.21,8.39,5.76,1.81,-1.46,4.4,-6.27,1.15,2.13
193,2019-07-13,-3.41,-2.09,-1.2,2.94,-3.65,8.89,-3.29,-0.97,-1.83,-2.41
194,2019-07-14,-10.41,-15.98,-9.3,-1.23,-11.28,0.75,-8.57,-4.18,4.07,-14.61
195,2019-07-15,6.53,1.05,0.36,4.56,0.85,-2.04,3.03,-2.67,5.89,2.27
196,2019-07-16,-12.87,-12.85,-12.52,-5.29,-11.97,6.53,-5.57,6.92,3.92,-7.56
197,2019-07-17,2.52,5.97,10.27,4.12,12.97,1.05,5.03,-2.52,-2.89,6.74
198,2019-07-18,9.91,7.08,4.81,5.51,12.42,-4.59,3.23,12.3,-5.77,5.73
199,2019-07-19,-1.17,-2.22,0.2,-1.97,-2.89,-1.0,-0.48,-0.24,0.73,-2.97
200,2019-07-20,2.23,3.33,7.21,-3.63,2.04,-0.37,4.42,3.77,-2.0,5.14
201,2019-07-21,-1.4,-1.26,-2.2,0.07,-0.56,-0.63,-0.58,-2.13,0.97,1.66
202,2019-07-22,-2.36,-3.54,1.47,-3.48,-4.44,-3.91,-2.87,0.76,-1.81,1.87
203,2019-07-23,-4.62,-2.35,-4.62,-4.23,-5.41,0.66,-3.87,-4.01,-7.25,-5.31
204,2019-07-24,-1.03,1.77,-2.08,4.63,4.88,-0.86,2.17,-4.72,-2.41,1.14
205,2019-07-25,1.19,1.31,0.33,-0.9,-1.28,1.59,-0.67,-4.89,-5.26,-1.41
206,2019-07-26,-0.59,-0.15,-0.08,-1.82,0.89,2.99,3.1,7.59,-4.35,3.24
207,2019-07-27,-3.54,-5.26,-3.98,5.7,-5.55,3.47,-4.14,3.49,-7.98,-4.0
208,2019-07-28,0.66,2.08,0.06,-3.43,1.32,-2.3,0.81,-1.1,9.49,-0.57
209,2019-07-29,-0.36,-0.33,-2.89,-0.56,0.37,1.15,-0.68,1.51,-4.22,0.41
210,2019-07-30,0.69,-0.6,0.12,-1.68,-0.2,-1.61,2.64,-5.57,9.57,-0.02
211,2019-07-31,5.28,4.22,2.82,18.21,9.59,1.66,0.47,6.09,2.45,2.04
212,2019-08-01,2.92,-0.72,3.51,-8.84,-0.13,1.19,-1.17,-5.06,2.77,-1.52
213,2019-08-02,1.43,0.37,-1.99,38.77,-3.91,-0.99,-1.19,4.3,2.99,-1.31
214,2019-08-03,2.79,2.04,-1.45,3.68,-0.66,4.15,1.37,4.16,9.02,0.09
215,2019-08-04,1.04,-0.16,-1.26,13.27,-1.6,2.61,0.69,-0.39,-2.15,3.64
216,2019-08-05,8.22,5.3,2.29,-7.77,4.19,3.22,1.32,-5.29,-2.85,1.38
217,2019-08-06,-2.94,-3.1,-1.29,8.21,-3.7,4.68,-3.33,-6.64,-4.16,-5.13
218,2019-08-07,4.3,-0.09,7.29,18.06,-2.64,13.26,-0.16,0.77,-0.76,0.71
219,2019-08-08,0.21,-2.09,4.85,-7.96,-0.49,1.54,-0.86,0.46,-2.23,1.66
220,2019-08-09,-0.95,-4.9,-4.25,-0.9,-6.48,-7.75,-3.81,-2.95,-1.83,-3.37
221,2019-08-10,-4.8,-1.92,-0.44,10.54,1.44,2.3,0.9,-4.26,4.67,-2.77
222,2019-08-11,2.13,4.81,1.95,8.9,5.23,0.95,1.37,-0.21,2.84,3.17
223,2019-08-12,-1.24,-2.31,-0.19,4.21,-4.67,-1.53,-0.84,1.89,4.45,-0.69
224,2019-08-13,-4.44,-1.08,-2.43,25.03,-1.06,3.22,-0.86,-10.15,-6.5,2.24
225,2019-08-14,-7.74,-10.61,-8.24,-6.2,-10.53,-6.65,-11.55,-6.39,-2.51,-5.44
226,2019-08-15,2.37,0.51,4.07,6.99,0.45,-5.03,0.12,1.11,6.58,0.79
227,2019-08-16,0.34,-1.65,-2.11,-17.45,-2.06,-1.73,-1.31,-0.93,6.91,-2.04
228,2019-08-17,-1.11,0.41,0.05,-49.62,-2.65,5.47,1.99,-0.57,-3.46,-1.31
229,2019-08-18,0.89,4.66,1.43,3.94,4.97,-7.99,6.73,3.34,7.36,2.02
230,2019-08-19,5.91,4.1,3.19,-12.37,1.04,1.92,-0.42,1.0,5.72,-0.51
231,2019-08-20,-1.41,-2.79,-2.67,2.04,-2.54,-0.07,-2.71,-3.8,-9.83,8.74
232,2019-08-21,-5.74,-4.63,-3.97,-15.22,-2.48,-2.2,-3.07,0.72,-10.28,2.06
233,2019-08-22,-0.4,1.55,0.15,4.56,0.18,3.35,1.69,-3.87,17.14,17.27
234,2019-08-23,2.87,1.92,-0.14,-7.11,2.73,-3.65,2.32,2.61,0.0,-1.03
235,2019-08-24,-2.44,-1.76,-2.44,-8.48,-2.72,-4.25,-1.9,3.41,1.03,-4.07
236,2019-08-25,0.08,-2.13,-0.8,4.96,-1.66,-5.23,-0.72,-2.29,-5.76,4.03
237,2019-08-26,2.26,1.14,0.14,3.38,1.97,-0.65,0.33,0.64,4.9,2.88
238,2019-08-27,-1.82,-0.73,-2.02,18.49,-0.94,-1.86,-0.36,-3.82,0.94,-1.83
239,2019-08-28,-4.56,-7.62,-8.78,15.63,-8.44,-2.94,-4.92,-1.32,1.93,-10.38
240,2019-08-29,-2.29,-2.32,-6.76,-10.23,-4.71,2.67,0.33,-7.7,-3.01,-8.1
241,2019-08-30,0.9,-0.31,1.63,-6.57,0.98,3.45,-0.67,-0.81,7.01,6.07
242,2019-08-31,0.05,1.83,-4.9,6.96,0.09,5.96,0.81,3.01,-1.25,-0.63
243,2019-09-01,1.42,-0.45,1.73,-3.04,2.58,-3.37,-0.6,-1.89,-2.42,-0.34
244,2019-09-02,6.34,4.29,6.19,0.26,1.62,2.14,1.81,2.75,-3.19,7.12
245,2019-09-03,2.66,0.42,-1.73,-2.88,3.2,0.36,0.7,10.9,-2.05,1.7
246,2019-09-04,-0.42,-2.28,-3.02,-1.65,-2.88,-3.2,-1.56,4.17,1.61,-0.53
247,2019-09-05,-0.01,-0.54,4.41,-1.34,-2.67,-9.81,-0.87,-2.66,3.87,4.12
248,2019-09-06,-2.5,-2.68,-2.89,-3.12,-0.57,2.25,-1.98,3.51,-6.53,-5.41
249,2019-09-07,1.53,5.03,1.85,-3.43,6.0,-0.93,3.5,-3.67,3.57,-0.3
250,2019-09-08,-0.71,2.03,0.07,8.48,2.31,-1.39,0.83,-0.56,0.28,0.22
251,2019-09-09,-0.75,-0.35,-1.24,-2.07,-0.67,-26.49,-1.34,-4.85,-1.13,-0.84
252,2019-09-10,-1.98,-0.39,-1.52,3.14,1.42,16.63,-0.04,1.8,-2.28,-0.88
253,2019-09-11,0.6,-0.88,-4.76,-1.92,-1.48,-3.45,-1.3,-5.52,-0.88,-3.1
254,2019-09-12,2.52,1.36,0.43,0.07,-0.93,1.98,-0.43,0.47,-2.25,-2.05
